tarikh,nama_kluster,kategori_kluster,negeri,daerah,jumlah_kes,jumlah_disaring
2021-05-22,Sungai Batu,Tempat Kerja,Pahang,Raub,27,76
2021-05-22,Jalan Bypass Kuantan,Tempat Kerja,Pahang,Kuantan,16,268
2021-05-22,Kampung Bakong Kecil,Komuniti,Kelantan,Pasir Mas,15,21
2021-05-22,Industri Batu Berendam,Tempat Kerja,Melaka,Melaka Tengah dan Alor Gajah,13,131
2021-05-22,Redong Satu,Komuniti,Johor,Segamat,20,40
2021-05-22,Abaka,Komuniti,Sabah,Tawau,38,171
2021-05-22,Indani,Komuniti,Sabah,Semporna,12,96
2021-05-22,Melikai,Komuniti,Sabah dan WP Labuan,Kuala Penyu dan Labuan,17,251
2021-05-22,Lembah Keramat,Keagamaan,WP Kuala Lumpur,Titiwangsa,10,25
2021-05-22,Kampung Gau,Keagamaan,Pahang,Temerloh,16,432
2021-05-22,Taman Sungai Jelok,Kumpulan Berisiko Tinggi,Selangor,Hulu Langat,18,25
2021-05-22,Kepulauan Tumpat,Komuniti,Kelantan,Tumpat dan Pasir Mas,28,597
2021-05-23,Bukit Temedak,Komuniti,Sarawak,Pakan,30,88
2021-05-23,Jalan Kempas Dua,Tempat Kerja,Johor,Muar,68,118
2021-05-23,Jalan Bukit Puchong,Tempat Kerja,Selangor,Petaling,38,102
2021-05-23,Jalan Enam Selatan,Tempat Kerja,"Selangor, WP Kuala Lumpur, WP Putrajaya dan Negeri Sembilan","Sepang, Kuala Langat, Petaling, Cheras, Putrajaya, Seremban, Rembau dan Port Dickson",31,110
2021-05-23,Industri Bukit Minyak,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah,28,143
2021-05-23,Simpang Juasseh,Komuniti,Negeri Sembilan,"Jempol, Kuala Pilah dan Seremban",54,174
2021-05-23,Jalan Kilang Ubi,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah,16,110
2021-05-23,Jalan Perindustrian Lima,Tempat Kerja,Johor,Muar,15,87
2021-05-23,Kemuning Tujuh,Tempat Kerja,Selangor,Klang dan Petaling,26,86
2021-05-23,Persiaran Cassia Selatan Dua,Tempat Kerja,Pulau Pinang,Seberang Perai Selatan,56,112
2021-05-23,Jarum Laut,Komuniti,Johor,Tangkak,38,84
2021-05-23,Bandar Jalan Putra,Tempat Kerja,Pahang,Kuantan,13,161
2021-05-23,Kampung Paroh,Komuniti,Terengganu,Besut,26,314
2021-05-23,Jalan Desa Satu,Keagamaan,Selangor,Kuala Selangor,12,135
2021-05-23,Jalan Mangga,Komuniti,Sabah,Kota Kinabalu,14,108
2021-05-23,Taman Sourabaya Indah,Komuniti,Sarawak,Kuching,9,34
2021-05-23,Kampung Panggong,Komuniti,Kelantan,Pasir Puteh,8,21
2021-05-23,Permai Sejahtera,Keagamaan,Pahang,Lipis dan Kuantan,71,"1,035"
2021-05-23,Kampung Jakar,Komuniti,Kelantan,Machang,10,21
2021-05-23,Dah Seri Perigi,Keagamaan,Kedah,Yan,21,58
2021-05-23,Taman Majupadu,Keagamaan,Johor,Kluang,15,56
2021-05-23,Jalan Temiang,Kumpulan Berisiko Tinggi,Negeri Sembilan,Seremban,13,120
2021-05-23,Terendak Permai,Keagamaan,Melaka,Melaka Tengah,27,220
2021-05-23,Parit Dato Onn,Keagamaan,Johor,Pontian,11,351
2021-05-24,Deluxe,Komuniti,Sabah,Penampang dan Semporna,12,15
